Document_ID,Cleaned text,Sentiment
112,act cinematographi music screenplay costum gotham etc everyth 1010oscar worthi performancebi joaquin phoenixamaz direct todd phillip amaz cinematographi lawrenc sher,Positive
113,one wors movi seen act actor stori drag saw movi bargain matine thought rip good part comfi chair half price snack phoenix top good way phoenix stop danc deniro play anoth version part play past year 2 star chair 1 star snack 1 star wast day,Positive
114,batman fan particularli fond joaquin phoenix movi truli except start slow built viscer satisfi crescendo never thought would root joker found throughout movi joker pain palpabl fill oscar pool card right p movi dark violent decidedli super hero movi leav kid home,Positive
115,husband went see film found extrem depress moreov everyth caricatur could normal might say given depict life comic book clown christoph nolan director famou batman trilog said produc movi would useless simpli come horror le show scarier your told giant monster wood eat peopl youll laugh believ youll imagin horribl monster horribl accord other show u never horribl u imagin make thing realli aw sink worst possibl melodrama psychopath mistreat childhood mock adolesc misunderstood adulthood without ever anyon help effect vast major born miss bolt head someth wrong start director want make u cri portray roughli cartoonish miseri everyth bold capit letter underlin highlight sure fulli understood main charact didnt easi life societi rotten revolt suicid desper kill put end seriou ask ledger joker that good question im worri futur charact especi actor want play term actor perform that joaquim phoenix push extrem film rememb actor play social misfit loner unabl make friend depress peopl verg nervou breakdown misunderstood guy son reject father rebel etc short play tortur soul even play guy fall love comput cant get along real girlfriend normal know play crazi clown talent consid fact seem unabl play much el simplist gloomi depict societi alreadi claim victim peopl dress clown ransack everyth street cinema film shown seem misfit want believ joker misfortun depend everyth everyon el happi couldnt certainli anyway dont believ good thing said movi feel bit sort dont go see youll make unhappi film that realli worth,Positive
116,masterpiec one best film decad act direct set photographi soundtrack year film cult one,Positive
118,bore realli cant understand hype,Negative
120,one worst movi ever seen ok mayb hype surround movi kill masterpiec ok film one star way mani 10 actual agre actual critic grade film,Negative
121,didnt realli know much movi hadnt seen trailer anyth decid give go stone mate steve actual got ticket differ movi couldnt find screen end screen show joker wasnt til 45 minut realis movi good couldnt understand lot certain actor say realli mumbl low qualiti stori confus hard keep track who there lot scene liter noth happen except peopl talk walk corridor whisper mate steve hour see thought bad fallen asleep good thing movi act geezer play joker good also funni scene near end movi overli long complex enough action poor direct,Negative
123,film direct produc poorli opportun take advantag incred joaquin phoenix blown gratuit violenc misplac violenc wrong approach joker disappoint connect viewer film wander long period ton footag hit cut room floor realli want stirringli creepi connect joaquin joker wasnt look joaquin moment like gladiat disappoint,Negative
124,wow movi admit first heard joaquin phoenix go joker surpris wasnt sure go pull hope wasnt go anoth cheesi rendit full fluff unrealist explan joker came one adult son wouldnt keep nudg wake pleasantli surpris well todd phillip version play joaquin act superb could feel anguish charact go right point lost mind excel well act movi almost forget deriv dc comic,Positive
125,movi poorli done tell stori dark movi show problem mental ill,Neutral
